张吉惟,78962285,13632929155
林国瑞,61840508,13791424432
林玟书,88421848,15058646252
林雅南,56895861,15023170612
江奕云,85814399,15782858956
刘柏宏,88405300,14757198073
阮建安,70223038,15130808841
林子帆,72350238,14842184090
夏志豪,60499910,13222014101
吉茹定,88942964,15646316690
李中冰,75153598,13946247118
黄文隆,77427821,14130478970
谢彦文,72570692,13376265370
傅智翔,85484648,14400288560
洪振霞,56295361,14369438855
刘姿婷,76140049,14877584131
荣姿康,86784183,13143917695
吕致盈,59337247,14242058984
方一强,50063412,13807167160
黎芸贵,87237918,13843757705
郑伊雯,57751102,13122047886
雷进宝,75136885,14247423823
吴美隆,74043223,13710468878
吴心真,60221356,15886127851
王美珠,59025972,15564072386
郭芳天,53107016,13788937463
李雅惠,56091266,15923872019
陈文婷,87628763,15079797051
曹敏侑,69209948,14595570325
王依婷,76280576,13955113883
陈婉璇,75378222,15867401738
吴美玉,68158906,14901720811
蔡依婷,69904530,15805209486
郑昌梦,70412105,14129282412
林家纶,69995307,14959602178
黄丽昆,67218196,13038406667
李育泉,84312587,14958685746
黄芸欢,81781314,14980675414
吴韵如,79101228,13622570861
李肇芬,52132535,15345313407
卢木仲,86807666,14851205783
李成白,88073076,13685046128
方兆玉,85239124,13777307800
刘翊惠,62882830,13692371347
丁汉臻,71328005,15165214745
吴佳瑞,86755786,13825321984
舒绿珮,75555874,13972861415
周白芷,65343741,15075011441
张姿妤,65133473,13929143573
张虹伦,82224223,15105365518
周琼玟,68967439,15318260231
倪怡芳,84758097,14733533783
郭贵妃,58853594,15216901624
杨佩芳,61145628,14726274166
黄文旺,58986059,14961274810
黄盛玫,70737731,15242220229
郑丽青,53066237,15384691217
许智云,54060383,15360752486
张孟涵,77870659,15880169492
李小爱,73299957,13983567928
王恩龙,77222754,13597313520
朱政廷,62855881,14840616987
邓诗涵,73249986,15218939582
陈政倩,79512846,13433767312
吴俊伯,59003243,13571604354
阮馨学,76639954,14016897455
翁惠珠,66914349,14702328005
吴思翰,85715789,15432721148
林佩玲,74206251,15005193130
邓海来,51089359,13439790988
陈翊依,73791031,15603510749
李建智,64468537,13461451377
武淑芬,60369058,15359819684
金雅琪,82137251,13687458719
赖怡宜,75144327,13916897742
黄育霖,64943455,15384669538
张仪湖,71331664,13563248424
王俊民,51698286,14247815581
张诗刚,88709134,14387512815
林慧颖,60822107,14142586056
沈俊君,55813677,13219717971
陈淑妤,87788509,15186741236
李姿伶,89379399,13083210856
高咏钰,64359374,14512010430
黄彦宜,69325470,14047244683
周孟儒,82923328,15477523317
潘欣臻,51746118,15570486777
李祯韵,51889927,14152015801
叶洁启,75653622,15012175648
梁哲宇,89685253,15736539390
黄晓萍,73316764,15615551004
杨雅萍,67623935,14281349782
卢志铭,83440277,13300661844
张茂以,52399081,13537403349
林婉婷,64940909,15491353697
蔡宜芸,54220440,13206963355
林珮瑜,89180297,14749564919
黄柏仪,67854922,15179177137
周逸珮,58211702,13189427146
夏雅惠,67855941,15967263450
